,State,District,Market,Commodity,Variety,Arrival_Date,Min,Max
525,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-01-24,1700,2100
855,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-01-24,600,1160
526,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-01-25,1800,2200
856,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-01-25,510,1070
1192,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-01-25,2000,2000
857,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-01-26,510,1070
527,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-01-26,1700,2100
528,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-01-27,1600,2000
1193,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-01-27,1700,1800
858,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-01-27,530,1070
1194,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-01-28,1800,2000
529,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-01-28,1200,2000
859,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-01-28,500,1100
860,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-01-29,520,1000
530,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-01-29,1100,1900
531,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-01-30,1200,1800
1195,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-01-30,1600,1800
861,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-01-30,560,990
532,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-01-31,1600,2000
862,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-01-31,560,990
835,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-02-01,720,1670
503,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-02-01,1800,2600
1176,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-02-01,3000,3000
534,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-02-02,1300,2300
864,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-02-02,500,1020
1216,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-02-03,1400,1500
893,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-02-03,410,720
563,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-02-03,800,1400
922,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-02-04,400,700
1242,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-02-04,800,1000
594,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-02-04,600,1000
1260,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-02-05,1700,1800
951,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-02-05,340,780
613,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-02-05,800,1600
643,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-02-06,800,1600
1281,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-02-06,1800,2000
981,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-02-06,570,850
667,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-02-07,600,1000
1307,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-02-07,2000,2000
1010,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-02-07,680,1000
1040,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-02-08,440,860
1061,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-02-09,320,820
1360,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-02-09,1300,1500
715,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-02-09,800,1000
745,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-02-10,600,600
1090,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-02-10,300,760
1382,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-02-10,800,1000
1116,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-02-11,50,630
1406,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-02-11,600,800
776,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-02-11,400,600
1146,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-02-12,50,700
806,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-02-12,700,900
1433,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-02-12,600,800
545,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-02-13,1700,2100
1201,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-02-13,1600,1800
875,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-02-13,390,760
1202,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-02-14,1600,1800
546,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-02-14,1500,1700
876,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-02-14,390,760
877,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-02-15,370,760
547,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-02-15,1600,1800
1203,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-02-15,1600,1800
878,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-02-16,390,840
548,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-02-16,1000,1600
1204,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-02-16,1300,1500
549,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-02-17,1300,1500
879,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-02-17,370,890
1205,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-02-17,1300,1500
880,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-02-18,450,930
1206,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-02-18,1300,1500
550,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-02-18,800,1600
551,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-02-19,900,1500
1207,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-02-19,1300,1500
881,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-02-19,400,840
1208,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-02-20,1400,1500
882,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-02-20,420,810
552,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-02-20,800,1600
883,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-02-21,420,810
1209,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-02-21,1300,1500
553,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-02-21,900,1500
1210,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-02-22,1200,1500
884,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-02-22,450,850
554,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-02-22,800,1600
885,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-02-23,470,880
1211,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-02-23,1400,1500
555,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-02-23,1000,1700
556,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-02-24,1300,1500
886,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-02-24,400,820
1212,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-02-24,1300,1500
557,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-02-25,800,1400
887,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-02-25,420,860
1213,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-02-25,1300,1500
888,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-02-26,440,840
558,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-02-26,700,1300
1214,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-02-26,1300,1500
889,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-02-27,460,850
559,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-02-27,800,1400
560,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-02-28,900,1300
890,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-02-28,460,850
891,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-02-29,430,800
